110,贵  州,,,,贵州铜仁市石阡县花桥镇三星希望小学,,2006,,已撤并,60,,张三,校长,13888888888,
111,云  南,,,,云南德宏州盈江县旧城镇三星希望小学,云南省德宏州盈江县旧城镇蛮崃小学,2007,,,324,,张三,校长,13888888888,
112,云  南,,,,云南迪庆州香格里拉县三坝乡三星希望小学,,2009,,,288,,张三,校长,13888888888,
113,云  南,,,,云南大理白族自治州剑川县金华镇三星希望小学,,2009,,,175,,张三,校长,13888888888,
114,云  南,,,,云南丽江市永胜县三川镇三星希望小学,,2009,,,89,,张三,校长,13888888888,
115,云  南,,,,云南腾冲县曲石乡三星希望小学,云南省保山市腾冲县曲石乡箐桥社区,2010,,,194,,张三,校长,13888888888,
116,云  南,,,,云南红河哈尼族彝族自治州金平县勐桥乡三星希望小学,,2012,,,540,,张三,校长,13888888888,
117,云  南,,,,云南大理白族自治州洱源县牛街乡三星希望小学,,2013,,,327,,张三,校长,13888888888,
118,云  南,,,,云南巧家县包谷垴乡红箐小学,,2014,,,429,,张三,校长,13888888888,
119,云  南,,,,云南巧家县马树镇三星希望小学,云南省昭通市巧家县马树镇小河塘村,2014,,,272,,张三,校长,13888888888,
120,云  南,,,,云南会泽县迤车镇小米小学,云南省曲靖市会泽县迤车乡小米村,2014,,,428,,张三,校长,13888888888,
121,云  南,,,,云南会泽县大桥乡杨梅山小学,,2014,,,491,,张三,校长,13888888888,
122,云  南,,,,云南昆明市东川区阿旺镇岩头小学,,2015,,建设中,135,,张三,校长,13888888888,
123,西  藏,,,,西藏日喀则市白朗县旺丹乡三星希望小学,,2006,,,369,,张三,校长,13888888888,
124,陕  西,,,,陕西渭南市华县赤水镇三星希望小学,,2006,,,352,,张三,校长,13888888888,
125,陕  西,,,,陕西安康市汉阴县蒲溪镇三星希望小学,,2007,,,292,,张三,校长,13888888888,
126,陕  西,,,,陕西渭南市富平县齐村镇三星希望小学,,2014,,,460,,张三,校长,13888888888,
127,陕  西,,,,陕西西安临潼区行者街道办事处白庙三星希望小学,,2009,,,230,,张三,校长,13888888888,
128,陕  西,,,,陕西西乡县城关镇三星希望小学,陕西省汉中市西乡县城南街道办事处五丰社区8组,2013,,,280,,张三,校长,13888888888,
129,陕  西,,,,陕西延安市富县张家湾镇河上塬小学,,2013,,,561,,张三,校长,13888888888,
130,陕  西,,,,陕西汉中市镇巴县永乐镇中心小学,,2013,,,270,,张三,校长,13888888888,
131,陕  西,,,,陕西安康市汉滨区大同镇三星希望小学,,2014,,,260,,张三,校长,13888888888,
132,陕  西,,,,陕西白河县茅坪镇四新小学,,2014,,,268,,张三,校长,13888888888,
133,陕  西,,,,陕西陇县东南镇黄花峪小学,,2015,,准备竣工材料,445,,张三,校长,13888888888,
134,甘  肃,,,,甘肃定西市渭源县锹峪乡三星希望小学,,2006,,,126,,张三,校长,13888888888,
135,甘  肃,,,,甘肃敦煌市七里镇三星希望小学,,2007,,,99,,张三,校长,13888888888,
136,青  海,,,,青海海北藏族自治州门源县东川镇三星希望小学,,2007,,改建幼儿园,32,,张三,老师,13888888888,
137,青  海,,,,青海黄南藏族自治州同仁县瓜什则乡三星希望小学,,2007,,,207,,张三,教师,13888888888,
138,青  海,,,,青海玉树藏族自治州治多县索加乡三星希望小学,,2009,,,64,,张三,教师,13888888888,
139,宁  夏,,,,宁夏吴忠市同心县张家塬乡三星希望小学,,2007,,,63,,张三,校长,13888888888,
140,宁  夏,,,,宁夏固原市原州区头营镇三星希望小学,,2007,,,501,,张三,校长,13888888888,
141,宁  夏,,,,宁夏固原市隆德县温堡乡三星希望小学　   　　　　,宁夏固原市隆德县温堡乡中心小学,2012,,,257,,张三,校长,13888888888,
142,宁  夏,,,,宁夏吴中市青铜峡市余桥镇三星希望小学,,2012,,,179,,张三,校长,13888888888,
143,宁  夏,,,,宁夏吴忠市红寺堡区南川镇红阳小学,,2013,,,425,,张三,校长,13888888888,
144,宁  夏,,,,宁夏中卫市海原县高崖学区香水小学,,2015,,准备竣工材料,427,,张三,校长,13888888888,
145,新  疆,,,,新疆和田地区墨玉县吐外特乡三星希望小学,,2006,,,519,,张三,校长,13888888888,
146,新  疆,,,,新疆喀什市帕哈太克里乡三星希望小学,,2007,,,511,,张三,校长,13888888888,
147,新  疆,,,,新疆昌吉州木垒县东城镇三星希望小学,,2008,,,161,,张三,校长,13888888888,
148,新  疆,,,,新疆伊犁哈萨克自治州特克斯县特克斯镇三星希望小学,,2012,,,969,,张三,校长,13888888888,
149,新疆兵团,,,,新疆兵团农七师奎管处三星希望小学,,2010,,,359,,张三,校长,13888888888,
150,新疆兵团,,,,新疆生产建设兵团农四师六十九团三星希望小学,,2012,,,424,,张三,校长,13888888888,
合计,,,,,,,,,,,,,,13888888888,
